shape_id,lat,lon,shape_pt_sequence
155,50.070966,14.382323,228
155,50.070993,14.382523,229
155,50.071014,14.382685,230
155,50.071037,14.382863,231
155,50.071062,14.383045,232
155,50.071088,14.383239,233
155,50.071115,14.383437,234
155,50.071137,14.383611,235
155,50.071155,14.383771,236
155,50.071169,14.383943,237
155,50.071183,14.384122,238
155,50.071201,14.384305,239
155,50.07122,14.384464,240
155,50.071245,14.384652,241
155,50.071295,14.385043,242
155,50.071311,14.385165,243
155,50.071336,14.385357,244
155,50.071373,14.385636,245
155,50.071398,14.385829,246
155,50.07143,14.386076,247
155,50.07144,14.38615,248
155,50.071454,14.386271,249
155,50.071477,14.386444,250
155,50.071501,14.386628,251
155,50.071521,14.38679,252
155,50.071545,14.386976,253
155,50.071567,14.387149,254
155,50.071575,14.387208,255
155,50.071592,14.387343,256
155,50.071614,14.387508,257
155,50.071636,14.387678,258
155,50.071685,14.388049,259
155,50.071709,14.388239,260
155,50.071732,14.388418,261
155,50.071758,14.388619,262
155,50.071785,14.388817,263
155,50.071811,14.389004,264
155,50.071834,14.38918,265
155,50.071857,14.389355,266
155,50.07188,14.389527,267
155,50.071903,14.3897,268
155,50.071928,14.389894,269
155,50.071951,14.390074,270
155,50.071974,14.390259,271
155,50.071998,14.390443,272
155,50.072021,14.390628,273
155,50.072044,14.390813,274
155,50.072065,14.39099,275
155,50.072087,14.391182,276
155,50.072107,14.391378,277
155,50.072125,14.391551,278
155,50.072147,14.391764,279
